UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
RJ;2020;01;34775710.83;18026899.15;0;IPI-EXP;IPI-Exp;
RJ;2020;01;6245296.27;2713663.14;0;FPM;FUNDEB;
RJ;2020;01;2547972.75;1320808.28;0;IPI-EXP;FUNDEB;
RJ;2020;01;0;0;0;COUN;FUNDEB;
RJ;2020;01;0;0;0;LC 87;FUNDEB;
RJ;2020;01;17878.78;0;0;ITR;FUNDEB;
RJ;2020;01;400629.04;15621250.39;0;IPVA;FUNDEB;
RJ;2020;01;1262943.56;971557.07;0;ITCMD;FUNDEB;
RJ;2020;01;13682194.1;147617453.97;0;ICMS;FUNDEB;
RJ;2020;01;3003617.15;1305111.19;0;FPE;FUNDEB;
RJ;2020;01;0;105706.95;0;CFM;Royalties;
RN;2020;01;2867864.6;0;0;CIDE/Combustível;CIDE-Combustíveis;
RN;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
RN;2020;01;13009.51;5264.69;0;IOF Ouro;IOF-Ouro;
RN;2020;01;112110367.32;48713429.11;0;FPE;FPE;
RN;2020;01;0;0;0;FPE;FUNDEF;
RN;2020;01;0;0;0;ICMS;FUNDEF;
RN;2020;01;0;0;0;FPM;FUNDEF;
RN;2020;01;0;0;0;IPI-EXP;FUNDEF;
RN;2020;01;0;0;0;COUN;FUNDEF;
RN;2020;01;0;0;0;LC 87;FUNDEF;
RN;2020;01;204472.49;105993.67;0;IPI-EXP;IPI-Exp;
RN;2020;01;6125590.23;2661649.35;0;FPM;FUNDEB;
RN;2020;01;17999.88;9330.75;0;IPI-EXP;FUNDEB;
RN;2020;01;0;0;0;COUN;FUNDEB;
RN;2020;01;0;0;0;LC 87;FUNDEB;
RN;2020;01;4527.64;0;0;ITR;FUNDEB;
RN;2020;01;1420909.95;627307.3;0;IPVA;FUNDEB;
RN;2020;01;25647.88;22133.42;0;ITCMD;FUNDEB;
RN;2020;01;8194199.28;11460899.1;0;ICMS;FUNDEB;
RN;2020;01;9869169.35;4288283.93;0;FPE;FUNDEB;
RN;2020;01;0;25868.03;0;CFM;Royalties;
RO;2020;01;2204071.81;0;0;CIDE/Combustível;CIDE-Combustíveis;
RO;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
RO;2020;01;6569.25;1187.33;0;IOF Ouro;IOF-Ouro;
