Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de Goianá - MG;3127388;MG;3928;0,0479 ;A;0,9846 ;C;2,5532 ;C;C
Prefeitura Municipal de Salgadinho - PB;2513000;PB;3927;0,1161 ;A;0,9284 ;B;0,1612 ;A;B
Prefeitura Municipal de Itutinga - MG;3134509;MG;3926;0,0499 ;A;0,9451 ;B;;;
Prefeitura Municipal de Santa Rosa de Lima - SE;2806503;SE;3926;;;0,9807 ;C;-0,9150 ;C;
Prefeitura Municipal de Mariana Pimentel - RS;4311981;RS;3926;0,5863 ;A;0,8419 ;A;0,4175 ;A;A
Prefeitura Municipal de São Miguel do Aleixo - SE;2807006;SE;3923;0,0093 ;A;0,9666 ;C;2,9144 ;C;C
Prefeitura Municipal de Redenção da Serra - SP;3542305;SP;3919;0,1530 ;A;0,8877 ;A;0,1625 ;A;A
Prefeitura Municipal de Diogo de Vasconcelos - MG;3121704;MG;3918;0,2957 ;A;0,9660 ;C;1,7165 ;C;C
Prefeitura Municipal de Olivedos - PB;2510501;PB;3916;0,1323 ;A;;;175,6556 ;C;
Prefeitura Municipal de São Francisco - SE;2806909;SE;3916;0,3318 ;A;0,9851 ;C;6,0198 ;C;C
